Area,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central Europe,Albania,0,31.55965748,39.28984343,49.64950493,50.90752178,45.71335611,29.825492,33.63804744,42.78420521,45.36250339,53.23204516,58.6493525,76.14288176,100.9223584,110.1408527,140.9839007,194.8403092,255.6779578,182.7368625,185.893242,197.0067892,183.2046957,180.0155088,178.120368,132.3506676,130.8531626,144.3826887,175.8866886,200.1110363,187.4332339,236.4217561
Central Europe,Bosnia and Herzegovina,xxx,...,...,...,...,...,...,...,...,...,...,241.0255176,202.2828389,200.1003073,173.3048477,178.3755701,195.0496851,233.2923907,242.4713578,219.9154895,211.8782606,197.3446502,197.6171888,190.3804546,162.2156819,157.9120106,156.2583021,172.0733178,165.3692044,167.5218659,192.2007255
Central Europe,Bulgaria,232.1763866,255.7709115,282.6742433,241.9934348,311.1471056,213.6163563,244.3693962,320.3890113,357.2245396,351.3432049,406.0035428,455.9504665,569.0540775,620.9090159,667.6703957,715.7195354,990.1682936,1161.451478,904.9612921,832.549293,757.93126,722.052495,811.6343302,747.5325321,632.509635,670.5928584,720.0379709,961.2972746,2158.557527,1074.134515,1216.592091
Central Europe,Croatia,xxx,782.0036613,1168.936759,1625.222365,2060.38893,1938.698897,1797.184681,1427.264827,1035.949008,659.7750333,629.4641038,733.6807391,709.3991472,730.8670045,799.1609012,849.4310347,978.8537321,1295.957074,1129.098496,1015.876654,1106.464042,955.3201636,956.9526441,1063.469743,883.1629833,836.6850421,920.8370529,966.3587168,1001.812141,1013.002721,1739.751845
Central Europe,Czechia,xxx,xxx,815.5854669,938.2527766,1065.352459,1123.923831,988.3243318,1166.099773,1205.93187,1157.294085,1182.519922,1494.390397,1885.706689,2042.085931,2439.538514,2449.96371,2707.677752,2918.695853,2718.559513,2497.902955,2474.313259,2220.610395,2148.784401,2022.883295,1779.887189,1954.935,2077.722061,2710.017583,2910.252497,3252.505062,3935.630965
Central Europe,Czechoslovakia,0,0,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Central Europe,Estonia,xxx,0,13.14655988,25.13573538,36.34348758,41.43660771,53.03165218,59.91984748,73.80054132,78.31330856,93.8185399,122.0695307,171.4119239,204.9681802,204.517021,236.3244492,371.9745474,429.6626989,353.3665766,332.180157,389.2375809,436.8529116,479.3144608,512.1190451,463.5688145,497.6534043,537.4402269,614.9451743,637.0353784,718.1123903,763.9545885
Central Europe,German Democratic Republic,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Central Europe,Hungary,722.5491534,812.0179672,735.8603856,757.1319893,612.1848171,585.2719018,695.9724609,618.46438,702.9424911,715.8576648,845.0556738,1079.154824,1401.561253,1532.612234,1596.087843,1410.071771,1776.464117,1867.877499,1475.818169,1350.820413,1472.069832,1322.277703,1280.050962,1209.80189,1132.476292,1288.676093,1463.013911,1791.545365,2051.055453,2771.214572,2777.132531
Central Europe,Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.927234775,27.22708563,38.57812051,50.96886377,43.39040388,48.59768123,53.57578774,49.98416436,51.93762442,57.26262927,63.34407422,65.70532915,78.96500627,79.60974456
