Area,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central Europe,Albania,...,9.7,12.3,15.8,16.4,14.8,9.6,10.8,13.7,14.5,17.0,18.8,24.4,32.5,35.7,46.0,64.2,85.1,61.5,63.1,67.3,62.9,62.0,61.5,45.8,45.3,50.1,61.0,69.5,65.1,82.3
Central Europe,Bosnia and Herzegovina,xxx,...,...,...,...,...,...,...,...,...,...,64.1,53.8,53.2,46.0,47.4,51.8,62.1,64.9,59.4,57.9,54.7,55.8,54.7,47.3,46.6,46.6,51.8,50.1,51.1,58.9
Central Europe,Bulgaria,26.5,29.5,33.0,28.6,37.1,25.8,29.8,39.4,44.3,43.9,51.2,58.0,72.9,80.2,86.9,93.8,130.7,154.4,121.1,112.1,102.7,98.5,111.3,103.2,87.8,93.8,101.4,136.3,308.4,154.6,176.4
Central Europe,Croatia,xxx,165.2,248.8,348.9,446.3,423.8,396.6,317.7,232.5,149.0,142.8,166.9,161.6,166.7,182.5,194.3,224.4,297.7,260.1,234.7,256.5,222.4,223.7,249.9,208.6,198.8,220.1,232.5,242.6,246.8,426.2
Central Europe,Czechia,xxx,xxx,78.7,90.6,102.9,108.6,95.6,113.0,117.0,112.5,115.1,145.8,184.2,199.4,237.8,237.9,261.4,280.0,259.2,237.1,234.2,209.9,203.0,191.0,167.9,184.1,195.3,254.1,272.3,303.7,367.0
Central Europe,Czechoslovakia,...,...,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Central Europe,Estonia,xxx,...,8.8,17.3,25.4,29.2,37.6,42.6,52.6,56.0,67.4,88.3,124.8,150.3,150.8,175.2,276.8,320.6,264.5,249.4,293.1,330.2,363.4,389.1,352.5,377.9,407.5,464.8,480.4,541.2,576.6
Central Europe,German Democratic Republic,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Central Europe,Hungary,69.7,78.4,71.0,73.1,59.2,56.6,67.5,60.2,68.6,70.0,82.9,106.1,138.2,151.5,158.2,140.2,177.2,186.9,148.2,136.1,148.8,134.1,130.2,123.4,115.8,132.1,150.4,184.5,211.8,286.9,288.3
Central Europe,Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.5,15.5,21.7,28.5,24.0,26.7,29.6,28.0,29.2,32.0,35.2,36.6,42.2,42.0
Central Europe,Latvia,xxx,...,6.8,13.3,17.4,15.4,15.5,17.4,23.5,29.4,36.9,63.1,82.0,100.6,121.0,165.3,219.1,268.0,169.6,122.5,141.8,123.6,138.7,146.3,141.5,204.9,247.3,367.9,362.8,393.5,442.8
Central Europe,Lithuania,xxx,...,5.7,5.8,8.4,11.7,21.1,38.9,30.2,40.1,48.0,52.7,61.8,80.1,90.9,106.5,135.6,168.5,127.8,104.5,111.8,107.9,117.9,143.7,160.7,219.9,285.5,377.1,396.3,431.3,461.2
Central Europe,North Macedonia,xxx,...,...,...,...,65.7,41.6,39.3,32.7,34.3,110.8,51.9,56.4,65.8,61.7,61.1,78.7,83.5,76.7,62.8,63.9,57.6,60.9,59.8,48.1,49.7,48.4,57.4,70.1,73.7,103.0
Central Europe,Montenegro,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,98.7,100.9,103.5,137.0,123.1,120.3,127.0,108.2,103.6,107.7,90.7,98.4,104.7,120.0,117.8,132.1,157.1
Central Europe,Poland,45.2,49.3,55.4,58.7,70.7,80.1,82.8,90.5,83.7,81.6,94.2,98.1,108.0,124.4,153.7,172.6,223.9,243.7,206.1,229.3,247.0,235.1,243.1,271.6,268.5,241.2,260.1,317.5,311.1,362.5,362.7
Central Europe,Romania,58.7,35.6,31.1,40.5,42.8,38.3,47.5,55.8,42.8,42.3,44.8,48.3,57.6,70.9,92.3,106.0,124.0,144.0,107.8,101.9,117.0,104.0,121.8,134.3,129.5,133.6,184.3,223.5,238.2,262.6,290.8
Central Europe,Serbia,xxx,...,...,...,...,...,93.4,66.3,77.0,35.5,52.5,72.6,78.6,80.0,68.5,77.1,106.8,122.7,108.0,97.0,110.1,95.5,103.1,102.6,81.6,80.2,90.8,92.9,130.4,128.3,146.1
Central Europe,Slovakia,xxx,xxx,49.9,55.9,117.1,119.1,92.7,73.7,60.6,63.4,73.0,81.5,115.6,131.7,152.5,168.8,211.0,261.5,250.0,210.5,196.9,188.4,178.5,183.8,181.4,184.3,192.6,237.7,330.3,374.9,363.2
Central Europe,Slovenia,...,140.4,115.1,119.3,168.1,165.9,146.3,151.6,138.3,111.9,136.6,164.5,209.7,247.8,257.7,304.1,344.3,410.0,392.8,377.9,324.6,264.1,245.6,235.2,193.5,216.6,228.2,254.8,275.6,273.0,353.2
Central Europe,Yugoslavia,...,...,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Eastern Europe,Armenia,xxx,...,2.9,...,16.2,16.5,20.4,21.5,22.1,22.2,21.7,21.1,25.4,32.7,47.2,63.6,95.5,136.2,124.5,137.3,135.9,132.0,153.4,157.2,152.9,146.9,150.6,173.9,220.4,214.0,208.7
Eastern Europe,Azerbaijan,xxx,1.5,10.2,5.7,8.5,9.1,11.6,13.4,14.9,14.7,16.1,16.9,21.1,27.0,35.7,83.1,108.5,182.2,165.1,163.5,336.8,350.4,358.8,360.5,301.4,143.5,155.3,168.1,184.5,220.7,264.4
Eastern Europe,Belarus,xxx,...,...,...,17.8,18.2,24.9,22.8,16.7,14.2,18.1,21.0,23.9,32.7,47.3,66.4,78.8,93.4,71.6,81.5,80.3,85.7,101.8,106.0,75.2,62.7,66.2,75.1,81.9,74.9,80.8
Eastern Europe,Georgia,xxx,...,...,...,...,14.0,9.3,9.0,5.8,4.3,5.5,8.0,10.1,16.7,50.8,96.5,223.6,263.1,146.6,110.8,114.9,121.1,109.1,103.0,74.4,78.5,80.1,83.4,77.7,72.2,75.9
Eastern Europe,Moldova,xxx,...,...,...,3.1,3.6,4.1,2.5,1.4,1.2,1.4,1.7,2.0,2.3,2.9,4.0,5.5,9.0,6.1,4.5,5.6,5.9,6.6,6.8,5.7,6.7,7.6,9.2,10.6,11.0,13.0
Eastern Europe,Russia,xxx,...,52.3,91.3,86.0,106.9,119.0,54.0,44.0,63.0,80.1,96.0,117.4,145.4,190.3,240.7,303.9,392.2,359.5,409.3,488.8,565.8,612.2,585.5,458.1,476.6,459.8,422.8,447.0,422.9,451.7
Eastern Europe,Ukraine,xxx,...,2.4,13.4,15.3,20.0,28.9,18.3,12.6,14.3,15.3,18.2,23.2,28.0,44.2,55.2,76.1,89.8,50.5,56.5,54.9,62.4,63.9,66.4,65.9,65.8,73.0,94.2,123.2,135.5,136.7
Eastern Europe,USSR,...,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Western Europe,Austria,256.5,273.3,268.0,280.3,320.1,306.5,269.5,268.6,263.9,238.6,220.9,231.3,291.3,326.1,325.4,318.7,421.0,449.1,398.3,382.7,403.3,374.9,377.4,383.7,307.1,329.9,357.5,381.1,361.6,399.9,423.0
Western Europe,Belgium,460.7,409.9,370.2,388.4,436.8,415.5,360.3,357.9,350.9,310.3,294.2,303.6,372.0,406.7,400.9,405.7,482.7,584.1,517.6,479.5,499.3,466.3,471.9,462.7,372.3,374.8,388.2,421.5,412.6,469.6,542.6
Western Europe,Cyprus,534.3,786.7,327.6,356.6,349.5,513.3,599.5,532.2,313.1,298.2,341.3,248.2,290.2,335.1,370.5,370.7,380.8,419.4,429.3,429.1,426.4,365.2,336.5,310.6,282.4,252.4,304.3,378.8,386.7,400.5,425.6
Western Europe,Denmark,518.3,548.7,516.7,521.7,595.8,587.3,531.3,537.0,523.3,448.0,471.3,501.4,593.9,662.4,639.7,715.8,763.4,870.9,784.9,810.7,809.3,788.2,747.9,716.3,591.3,629.1,656.7,792.5,789.5,859.9,927.4
Western Europe,Finland,438.5,411.5,318.5,344.6,372.9,393.6,377.9,379.5,319.5,300.3,284.5,309.1,473.5,551.9,570.3,592.9,622.2,744.1,737.7,692.7,760.6,728.2,765.1,729.8,620.2,621.1,622.6,680.2,656.1,737.7,1064.1
Western Europe,France,630.2,663.2,623.6,647.5,694.2,671.9,596.0,575.5,556.6,481.3,470.7,511.3,640.1,733.5,727.1,744.5,819.2,890.0,902.4,827.7,856.0,790.0,813.9,827.7,708.2,732.5,758.7,791.0,769.5,808.1,865.8
Western Europe,Germany,467.9,494.0,435.5,423.1,477.5,451.3,384.1,383.3,377.1,325.5,316.9,338.6,404.3,438.2,371.6,440.4,493.5,556.3,550.4,532.3,558.6,540.9,545.0,548.3,466.7,484.9,510.7,558.5,586.8,635.1,667.7
Western Europe,Greece,305.1,347.7,319.4,337.0,389.0,425.9,419.4,439.8,454.5,411.9,397.7,423.4,448.8,557.9,626.1,680.1,767.4,957.8,971.0,749.8,658.3,548.6,526.5,516.9,452.0,467.6,481.4,547.2,522.4,508.6,779.1
Western Europe,Iceland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Western Europe,Ireland,177.6,190.9,168.5,177.6,195.4,207.5,209.6,201.3,198.7,183.6,199.8,207.6,242.5,271.5,276.5,281.3,317.3,358.4,315.0,279.8,283.2,251.2,259.1,257.8,214.3,213.3,215.7,229.7,227.9,231.8,254.4
Western Europe,Italy,378.1,388.1,318.9,315.7,300.6,364.4,354.2,367.0,370.9,350.6,343.2,377.9,466.0,522.2,510.2,506.2,544.4,625.2,576.2,539.8,567.7,497.4,497.9,458.6,366.2,412.7,435.9,468.8,435.7,478.3,530.2
Western Europe,Luxembourg,252.2,284.7,246.0,283.2,315.0,308.8,288.4,303.6,294.8,265.4,328.9,312.1,401.5,469.1,480.8,479.1,544.1,441.0,405.3,487.5,447.3,404.1,430.4,454.2,440.1,406.8,545.8,588.2,627.0,648.2,724.5
Western Europe,Malta,59.6,72.5,66.4,74.5,82.6,87.6,81.1,75.1,71.6,64.4,68.5,71.2,85.1,100.6,129.6,109.4,120.7,137.0,143.5,141.9,133.7,118.3,126.3,131.4,119.3,136.9,146.7,152.3,182.4,153.8,191.7
Western Europe,Netherlands,481.0,521.2,462.1,464.4,517.9,503.1,436.9,434.1,443.7,375.0,387.1,417.6,515.8,575.7,584.5,621.5,695.5,746.9,729.7,672.6,695.9,617.2,607.1,611.6,511.7,536.8,562.9,651.5,701.9,763.7,800.8
