,Area,Country,Year,Percent_gdp,constant_usd,usd_per_capita
0,Central Europe,Albania,1991,5.79,0.2065,
1,Central Europe,Bosnia and Herzegovina,1991,,,
2,Central Europe,Bulgaria,1991,3.04,1.8077999999999999,26.5
3,Central Europe,Croatia,1991,,,
4,Central Europe,Czechia,1991,,,
5,Central Europe,Estonia,1991,,,
6,Central Europe,Hungary,1991,2.16,1.7612999999999999,69.7
7,Central Europe,Kosovo,1991,,,
8,Central Europe,Latvia,1991,,,
9,Central Europe,Lithuania,1991,,,
10,Central Europe,North Macedonia,1991,,,
11,Central Europe,Montenegro,1991,,,
12,Central Europe,Poland,1991,2.25,4.4506000000000006,45.2
13,Central Europe,Romania,1991,4.77,4.0732,58.7
14,Central Europe,Serbia,1991,,,
15,Central Europe,Slovakia,1991,,,
16,Central Europe,Slovenia,1991,,,
17,Eastern Europe,Belarus,1991,,,
18,Eastern Europe,Moldova,1991,,,
19,Eastern Europe,Russia,1991,,,
20,Eastern Europe,Ukraine,1991,,,
21,Western Europe,Austria,1991,1.15,3.3996,256.5
22,Western Europe,Belgium,1991,2.29,7.6765,460.7
23,Western Europe,Cyprus,1991,7.26,0.6888,534.3
24,Western Europe,Denmark,1991,1.95,4.2783999999999995,518.3
25,Western Europe,Finland,1991,1.78,2.5703,438.5
26,Western Europe,France,1991,2.81,52.918099999999995,630.2
27,Western Europe,Germany,1991,2.0,58.1524,467.9
28,Western Europe,Greece,1991,3.48,5.427899999999999,305.1
29,Western Europe,Iceland,1991,,0.0,
30,Western Europe,Ireland,1991,1.25,0.949,177.6
31,Western Europe,Italy,1991,1.86,29.2546,378.1
32,Western Europe,Luxembourg,1991,0.81,0.1635,252.2
33,Western Europe,Malta,1991,0.87,0.035,59.6
34,Western Europe,Netherlands,1991,2.25,12.376,481.0
35,Western Europe,Norway,1991,2.75,4.0999,770.1
36,Western Europe,Portugal,1991,2.42,3.5625999999999998,213.3
37,Western Europe,Spain,1991,2.13,16.7355,297.2
38,Western Europe,Sweden,1991,2.32,5.7059,681.6
39,Western Europe,Switzerland,1991,1.54,7.5632,597.8
40,Western Europe,United Kingdom,1991,4.12,62.5238,821.2
41,Central Europe,Albania,1992,4.67,0.1579,9.7
42,Central Europe,Bosnia and Herzegovina,1992,,,
43,Central Europe,Bulgaria,1992,2.97,1.3660999999999999,29.5
44,Central Europe,Croatia,1992,7.61,1.959,165.2
45,Central Europe,Czechia,1992,,,
46,Central Europe,Estonia,1992,,0.0518,
47,Central Europe,Hungary,1992,2.18,1.7016,78.4
48,Central Europe,Kosovo,1992,,,
49,Central Europe,Latvia,1992,,,
50,Central Europe,Lithuania,1992,,,
51,Central Europe,North Macedonia,1992,,,
52,Central Europe,Montenegro,1992,,,
53,Central Europe,Poland,1992,2.23,4.3122,49.3
54,Central Europe,Romania,1992,4.25,3.1862,35.6
55,Central Europe,Serbia,1992,,,
56,Central Europe,Slovakia,1992,,,
57,Central Europe,Slovenia,1992,2.25,0.49160000000000004,140.4
58,Eastern Europe,Belarus,1992,1.62,0.2298,
59,Eastern Europe,Moldova,1992,,,
60,Eastern Europe,Russia,1992,4.43,43.606300000000005,
61,Eastern Europe,Ukraine,1992,,,
62,Western Europe,Austria,1992,1.1,3.3008,273.3
63,Western Europe,Belgium,1992,1.83,6.3033,409.9
64,Western Europe,Cyprus,1992,9.13,0.9428,786.7
65,Western Europe,Denmark,1992,1.89,4.1996,548.7
66,Western Europe,Finland,1992,1.91,2.6173,411.5
67,Western Europe,France,1992,2.69,51.2532,663.2
68,Western Europe,Germany,1992,1.86,55.3062,494.0
69,Western Europe,Greece,1992,3.63,5.6407,347.7
70,Western Europe,Iceland,1992,,0.0,
71,Western Europe,Ireland,1992,1.2,0.939,190.9
72,Western Europe,Italy,1992,1.75,28.4138,388.1
73,Western Europe,Luxembourg,1992,0.83,0.1706,284.7
74,Western Europe,Malta,1992,0.97,0.0418,72.5
75,Western Europe,Netherlands,1992,2.21,12.3058,521.2
76,Western Europe,Norway,1992,2.96,4.4431,886.0
77,Western Europe,Portugal,1992,2.39,3.6582,254.5
78,Western Europe,Spain,1992,2.04,16.3258,310.8
79,Western Europe,Sweden,1992,2.34,5.6127,707.0
80,Western Europe,Switzerland,1992,1.52,7.3439,609.2
81,Western Europe,United Kingdom,1992,3.86,58.3991,793.7
82,Central Europe,Albania,1993,3.2,0.1445,12.3
83,Central Europe,Bosnia and Herzegovina,1993,,,
84,Central Europe,Bulgaria,1993,2.61,1.0324,33.0
85,Central Europe,Croatia,1993,10.73,2.4878,248.8
86,Central Europe,Czechia,1993,2.33,2.6311,78.7
87,Central Europe,Estonia,1993,0.76,0.0697,8.8
88,Central Europe,Hungary,1993,1.91,1.4656,71.0
89,Central Europe,Kosovo,1993,,,
90,Central Europe,Latvia,1993,0.74,0.09140000000000001,6.8
91,Central Europe,Lithuania,1993,0.81,0.1672,5.7
92,Central Europe,North Macedonia,1993,,,
93,Central Europe,Montenegro,1993,,,
94,Central Europe,Poland,1993,2.47,4.725899999999999,55.4
95,Central Europe,Romania,1993,2.74,1.9235,31.1
96,Central Europe,Serbia,1993,,,
97,Central Europe,Slovakia,1993,2.0,1.0328,49.9
98,Central Europe,Slovenia,1993,1.82,0.4219,115.1
99,Eastern Europe,Belarus,1993,2.79,0.3265,
100,Eastern Europe,Moldova,1993,0.53,0.0365,
101,Eastern Europe,Russia,1993,4.18,38.1196,52.3
102,Eastern Europe,Ukraine,1993,0.35,0.2959,2.4
