Area,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central Europe,Albania,206.5,157.9,144.5,138.1,128.7,115.6,80.7,76.3,88.4,97.8,111.1,110.9,124.6,136.2,141.1,173.3,214.5,252.6,199.9,214.8,213.6,208.8,196.6,191.1,166.4,160.1,166.2,179.9,204.5,187.4,221.3
Central Europe,Bosnia and Herzegovina,xxx,...,...,...,...,...,...,...,...,...,...,372.3,259.1,232.3,194.0,186.5,184.1,191.5,210.7,196.5,174.0,171.8,166.7,162.1,167.0,165.7,159.6,165.4,166.7,167.5,181.5
Central Europe,Bulgaria,1807.8,1366.1,1032.4,884.4,870.7,714.4,667.0,771.3,874.6,901.6,998.5,1007.5,1024.9,957.7,979.8,970.0,1134.5,1108.3,884.2,833.9,693.5,694.4,749.1,700.1,709.8,760.3,788.3,973.3,2234.6,1074.1,1154.0
Central Europe,Croatia,xxx,1959.0,2487.8,2795.9,2973.6,2787.0,2811.6,2167.7,1690.5,1197.9,1109.8,1200.6,971.6,882.8,921.1,931.0,958.1,1100.1,1002.3,928.8,961.4,878.8,839.8,942.3,938.1,892.2,947.9,926.0,1004.6,1013.0,1640.3
Central Europe,Czechia,xxx,xxx,2631.1,2717.8,2606.4,2585.8,2445.1,2654.0,2877.7,2971.4,2858.6,3051.3,3313.7,3181.5,3478.4,3213.3,3101.0,2643.9,2722.1,2469.4,2223.8,2137.7,2038.5,2028.5,2108.6,2285.6,2282.7,2691.8,2965.8,3252.5,3574.4
Central Europe,Czechoslovakia,6907.1,7006.4,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Central Europe,Estonia,xxx,51.8,69.7,88.7,87.9,85.5,114.1,120.8,150.2,177.2,206.7,246.8,285.3,300.9,288.2,315.9,427.8,418.8,362.9,347.4,369.7,431.9,446.2,477.6,519.7,558.7,575.0,604.7,645.7,718.1,704.8
Central Europe,German Democratic Republic,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Central Europe,Hungary,1761.3,1701.6,1465.6,1451.2,1093.0,1027.9,1264.3,1129.7,1291.1,1424.8,1565.0,1709.0,1844.6,1708.0,1690.8,1515.1,1543.1,1434.1,1278.3,1146.7,1162.6,1106.6,1046.5,1030.7,1159.4,1324.5,1436.8,1678.7,2000.3,2771.2,2608.4
Central Europe,Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.9,27.3,39.3,46.1,41.4,44.1,48.4,54.4,56.5,60.5,62.9,67.0,79.0,74.0
