Region,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central Europe,Albania,0.057912704,0.046708878,0.031994511,0.025478191,0.020535874,0.013790296,0.012830808,0.012382426,0.012492101,0.012463602,0.013092914,0.013200345,0.013368429,0.013811579,0.01350005,0.015677691,0.018207653,0.019848689,0.015172171,0.015585919,0.015282663,0.014870826,0.014089821,0.01346516,0.011623039,0.01103581,0.011086964,0.011605448,0.012996763,0.01258268,0.014156359
Central Europe,Bosnia and Herzegovina,,,,,,,,,,,,0.039043729,0.024166977,0.018896028,0.015442197,0.013865335,0.012361529,0.01220612,0.013765862,0.012803414,0.011364303,0.011455719,0.010870558,0.010258269,0.010006137,0.009339008,0.008641827,0.008525486,0.008200662,0.00845572,0.008949383
Central Europe,Bulgaria,0.030432316,0.029726338,0.026092716,0.024926173,0.023741313,0.024029341,0.024307014,0.024530591,0.02645172,0.026711705,0.028844614,0.028012596,0.027120207,0.023919935,0.022528982,0.020969913,0.022296113,0.021335248,0.017395115,0.016524682,0.013207173,0.013363553,0.014593401,0.013137045,0.012488481,0.012467073,0.012262437,0.014515684,0.031484755,0.015444513,0.01594889
Central Europe,Croatia,,0.076073864,0.107267572,0.111481773,0.093150104,0.082920111,0.089424925,0.066002195,0.044296297,0.030300558,0.027027738,0.027306333,0.020462989,0.017601437,0.017623284,0.016858051,0.016284306,0.018451879,0.017898345,0.016811906,0.017515682,0.016703631,0.016250085,0.018231861,0.017605797,0.016003581,0.016435934,0.0155249,0.016093024,0.017708518,0.027355686
Central Europe,Czechia,,,0.023304041,0.022834009,0.018436228,0.017319047,0.016620458,0.018259318,0.018590699,0.01877357,0.017512496,0.01824407,0.01892764,0.017137032,0.017900838,0.015759062,0.014309147,0.012324716,0.013105641,0.011947722,0.010778365,0.010632168,0.010150837,0.009662278,0.009465821,0.009961281,0.009566554,0.0108867,0.011525214,0.013258191,0.014340914
Central Europe,Estonia,,,0.00761752,0.010416303,0.009580983,0.008735961,0.010467725,0.010674917,0.012871134,0.013763271,0.015022145,0.016671295,0.017430493,0.016996892,0.014509199,0.013884224,0.016575821,0.017650497,0.017889384,0.016864701,0.016640102,0.018835796,0.018966666,0.019127859,0.020113352,0.020518444,0.020077335,0.020086659,0.020240188,0.023637676,0.02155515
Central Europe,Hungary,0.021614698,0.021796532,0.019065683,0.018241344,0.013247275,0.01259061,0.014766844,0.012721642,0.014336126,0.015131002,0.015701271,0.015937738,0.016426216,0.014727238,0.014120288,0.0122301,0.012702581,0.011811797,0.011286455,0.010239956,0.01038426,0.010292054,0.009453031,0.008594478,0.009054446,0.010031063,0.010266576,0.011166414,0.012543863,0.018566293,0.016360659
Central Europe,Kosovo,,,,,,,,,,,,,,,,,,0.000163028,0.004815973,0.006617087,0.007615412,0.006675633,0.006871483,0.007253115,0.007761514,0.007736674,0.007957205,0.007979143,0.00826154,0.010605525,0.009398589
Central Europe,Latvia,,,0.007352954,0.008387572,0.008056568,0.006391447,0.005821149,0.00587848,0.007509408,0.00881715,0.010415388,0.015422083,0.016100243,0.015956582,0.016106219,0.017150186,0.015528724,0.016270909,0.013822678,0.010875152,0.010371597,0.00902699,0.009317867,0.009439353,0.010378293,0.014506933,0.015948215,0.020622774,0.02028669,0.022550151,0.02280419
Central Europe,Lithuania,,,0.008122606,0.004933776,0.004543729,0.0050398,0.007471112,0.012292543,0.009701025,0.012167,0.013619436,0.012712887,0.011212285,0.011959433,0.011622116,0.011651848,0.011136076,0.011316086,0.010828038,0.008786591,0.007907008,0.007652658,0.007629075,0.008795963,0.011377482,0.014775059,0.017120705,0.019674191,0.020071507,0.021276314,0.020217262
Central Europe,North Macedonia,,,,,,0.028136767,0.021282469,0.020982398,0.017138206,0.018508215,0.061003956,0.026455975,0.023417012,0.023801041,0.020292633,0.018365377,0.019500697,0.017423409,0.016881646,0.013821546,0.012621871,0.012253197,0.011694372,0.010929608,0.009934277,0.00970116,0.008950414,0.009431087,0.011645941,0.012481217,0.015410425
